City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Severnyy-Kospashskiy,RU,2022-02-11 17:38:19,59.0925,57.8008,260.71,68,100,4.6
180,Norman Wells,CA,2022-02-11 17:38:19,65.282,-126.8329,240.17,68,20,2.06
181,Boende,CD,2022-02-11 17:39:19,-0.2167,20.8667,301.09,46,97,0.89
182,Calama,CL,2022-02-11 17:39:20,-22.4667,-68.9333,294.42,18,0,7.72
183,East London,ZA,2022-02-11 17:39:20,-33.0153,27.9116,297.67,78,20,2.57
184,Bud,US,2022-02-11 17:34:29,39.447,-86.1758,283.77,86,98,7.07
185,Birjand,IR,2022-02-11 17:39:21,32.8663,59.2211,281.41,29,0,3.09
186,Mareeba,AU,2022-02-11 17:39:21,-17.0,145.4333,294.55,95,39,0.59
187,Altamira,BR,2022-02-11 17:39:21,-3.2033,-52.2064,304.2,62,40,2.06
188,Havelock,US,2022-02-11 17:39:22,34.8791,-76.9013,294.85,48,40,2.57
189,Namatanai,PG,2022-02-11 17:39:22,-3.6667,152.4333,298.88,81,100,1.62
190,Kaitangata,NZ,2022-02-11 17:39:22,-46.2817,169.8464,286.06,83,100,1.49
191,Puerto Madryn,AR,2022-02-11 17:39:23,-42.7692,-65.0385,294.86,25,1,0.24
192,Tuxpan,MX,2022-02-11 17:39:23,19.55,-103.4,292.02,20,0,2.11
193,Magadan,RU,2022-02-11 17:34:30,59.5667,150.8,250.11,73,97,2.15
194,Puerto Baquerizo Moreno,EC,2022-02-11 17:39:24,-0.9,-89.6,299.7,78,75,4.12
195,Samarai,PG,2022-02-11 17:39:24,-10.6167,150.6667,300.22,66,64,6.58
196,Auki,SB,2022-02-11 17:39:24,-8.7676,160.7034,296.74,96,100,0.68
197,Sitka,US,2022-02-11 17:38:02,57.0531,-135.33,276.09,87,100,2.06
198,Teya,RU,2022-02-11 17:39:25,60.3778,92.6267,245.0,100,25,0.82
199,Sao Joao Da Barra,BR,2022-02-11 17:39:26,-21.6403,-41.0511,300.2,84,100,4.0
200,Poum,NC,2022-02-11 17:39:26,-20.2333,164.0167,299.94,81,100,4.37
201,Coolum Beach,AU,2022-02-11 17:39:26,-26.5333,153.1,295.0,74,2,6.69
202,Plouzane,FR,2022-02-11 17:39:27,48.3833,-4.6167,281.25,71,0,2.57
203,Pisco,PE,2022-02-11 17:39:27,-13.7,-76.2167,298.18,61,0,5.14
204,Byron Bay,AU,2022-02-11 17:39:28,-28.65,153.6167,296.09,83,28,6.61
205,Mitu,CO,2022-02-11 17:39:28,1.1983,-70.1733,304.93,50,87,1.54
206,Qaqortoq,GL,2022-02-11 17:39:28,60.7167,-46.0333,269.43,78,100,1.53
207,Sioux Lookout,CA,2022-02-11 17:39:29,50.1001,-91.917,252.36,71,100,6.17
208,Newport,GB,2022-02-11 17:39:29,51.5877,-2.9984,280.51,76,100,4.96
209,Boshnyakovo,RU,2022-02-11 17:39:29,49.6333,142.1667,263.64,95,100,1.15
210,Tiksi,RU,2022-02-11 17:39:30,71.6872,128.8694,249.16,93,97,6.66
211,Salto,UY,2022-02-11 17:35:28,-31.3833,-57.9667,309.75,26,59,1.34
212,Vigrestad,NO,2022-02-11 17:39:30,58.5667,5.7,278.71,73,88,9.66
213,Hithadhoo,MV,2022-02-11 17:39:31,-0.6,73.0833,300.74,69,100,3.54
214,San Jose,US,2022-02-11 17:39:24,37.3394,-121.895,295.13,50,0,0.0
215,Chokurdakh,RU,2022-02-11 17:35:45,70.6333,147.9167,252.63,97,100,5.33
216,Tarbagatay,RU,2022-02-11 17:39:31,51.4803,107.3602,242.89,100,98,0.58
217,Pho Chai,TH,2022-02-11 17:39:31,16.3283,103.7703,301.94,56,100,3.42
218,Ketchikan,US,2022-02-11 17:34:34,55.3422,-131.6461,274.41,86,100,2.06
219,Jacareacanga,BR,2022-02-11 17:39:32,-6.2222,-57.7528,300.99,72,100,1.18
220,Den Helder,NL,2022-02-11 17:39:32,52.9599,4.7593,278.7,75,36,1.03
221,Karratha,AU,2022-02-11 17:39:33,-20.7377,116.8463,302.78,69,12,1.44
