City_ID,Hotel Name,City,Country,Max Temp,Lat,Lng
421,Hotel Santika Palu,Palu,ID,23.720000000000027,-0.89,119.87
425,Liceo Bolivariano 19 De Abril,El Vigia,VE,29.55000000000001,8.62,-71.65
428,janelas do mar,Trairi,BR,28.890000000000043,-3.28,-39.27
430,Le Gîte d’Iracoubo,Iracoubo,GF,26.460000000000036,5.48,-53.2
433,Hostel Luxury A/C,Nizamabad,IN,20.840000000000032,18.67,78.12
435,Don Eddie's Landing,San Quintin,MX,19.310000000000002,30.48,-115.95
438,Haajy Guest House 1,Kulhudhuffushi,MV,27.689999999999998,6.62,73.07
440,Pestana Bahia Praia,Vila Franca Do Campo,PT,19.0,37.72,-25.43
444,Howard Johnson by Wyndham Ocala FL,Ocala,US,24.450000000000045,29.19,-82.14
446,Pereybere Hotel & Spa,Cap Malheureux,MU,27.27000000000004,-19.98,57.61
450,900 Boutique INN,Bintulu,MY,24.230000000000018,3.17,113.03
453,Mercure Padang,Padang,ID,25.689999999999998,-0.95,100.35
454,Pousada 2 Irmãos,Upanema,BR,25.82000000000005,-5.64,-37.26
458,Hosteria Sampedro,Rawson,AR,25.840000000000032,-43.3,-65.1
459,COMBUESA,Ondjiva,AO,25.02000000000004,-17.07,15.73
463,Screensaver,Harper,LR,28.870000000000005,4.38,-7.72
466,FLAT RIO DE JANEIRO,Niteroi,BR,28.870000000000005,-22.88,-43.1
469,Bungalow 63,Hambantota,LK,25.24000000000001,6.12,81.12
470,RANCHO SANTA ELENA,Soyaniquilpan,MX,16.860000000000014,19.98,-99.5
477,OYO 3271 Homestay Pandian,Sumenep,ID,24.260000000000048,-7.02,113.87
481,Posada Paraiso,Kantunilkin,MX,26.910000000000025,21.09,-87.45
482,Hotel Maxim's,Bocaiuva,BR,26.840000000000032,-17.11,-43.82
485,Hotel Arrarte,Rocha,UY,19.78000000000003,-34.48,-54.33
487,Center Hotel Punta Alta,Punta Alta,AR,22.360000000000014,-38.88,-62.07
488,Monty Brooms Guest House,Mabaruma,GY,27.29000000000002,8.2,-59.78
490,Saville Free Shop,Bella Union,UY,26.230000000000018,-30.28,-57.6
491,Sing and Swing Lodge,Balabac,PH,26.670000000000016,7.99,117.06
496,Hospitality Esperance,Esperance,AU,17.910000000000025,-33.87,121.9
497,Nam Long Hotel,Dong Hoi,VN,22.150000000000034,17.48,106.6
499,Casa Laguna,Guerrero Negro,MX,19.49000000000001,27.98,-114.06
501,Hotel Kou,Vao,NC,26.640000000000043,-22.67,167.48
502,Valle Aridane,Los Llanos De Aridane,ES,17.860000000000014,28.66,-17.92
503,Nathagar Pallivasal,Kadayanallur,IN,23.850000000000023,9.08,77.35
504,Yuehai Hotel,Jieshi,CN,18.860000000000014,22.81,115.83
505,Hotel Praia Morena,Benguela,AO,27.129999999999995,-12.58,13.41
506,Uruna Bay Retreat,Kieta,PG,25.52000000000004,-6.22,155.63
508,Hotel San Juan,Coquimbo,CL,20.850000000000023,-29.95,-71.34
511,Club El Pelícano,San Martin,AR,21.30000000000001,-33.08,-68.47
512,Leonardo Family Beach House 1,Pundaguitan,PH,26.870000000000005,6.37,126.17
513,Ludlow Farmstay,Otane,NZ,16.879999999999995,-39.88,176.63
516,Lords Inn Porbandar,Porbandar,IN,21.930000000000007,21.64,69.61
517,Aryaduta Hotel,Manado,ID,24.430000000000007,1.49,124.85
521,Hotel Abad,Kochi,IN,26.99000000000001,9.94,76.26
524,Diego De Almagro Coyhaique,Coihaique,CL,21.970000000000027,-45.58,-72.07
528,"""Plantation Bed and Breakfast",Saint-Joseph,RE,25.210000000000036,-21.37,55.62
530,Veranda Paul et Virginie Hotel & Spa,Grand Gaube,MU,27.220000000000027,-20.01,57.66
531,Chelelwa Charlets,Kaputa,ZM,21.03000000000003,-8.47,29.66
534,Hotel Castelo,Cidreira,BR,26.470000000000027,-30.18,-50.21
535,Hampton Inn Channel Islands Harbor,Port Hueneme,US,26.99000000000001,34.15,-119.2
536,Apt downtown Waltham,Watertown,US,15.629999999999995,42.37,-71.18
